case,分类,说明,round-1,round-2,备注
C01,云端,服务起 8790 + GET /api/health → {ok:true},PASS,PASS,round-1.md §1
C02,云端·blocker,GET / 由真实 server.js 托管 index.html / app.js,PASS,PASS,修复 cloud/src/server.js:43；round-2 新增的 ui.js 亦 200（静态根自动覆盖，未改服务端）
C03,云端,bootstrap --check 零副作用 + 建首用户/workspace/swuk_,PASS,PASS,明文只打印一次
C04,云端,POST /api/auth/login → 会话 cookie；GET /api/auth/me → 200,PASS,PASS,round-2 走真实登录页 UI
C05,云端,POST /api/registration-keys → swrk_（48 字符，明文只此一次）,PASS,PASS,round-1 prefix=swrk__zc7；round-2 改由管理页 UI 触发
C06,云端,POST /api/machines/enrollment-codes → 8 位码 TTL 600s,PASS,PASS,round-2 改由管理页 UI 触发
C07,负例,不带注册密钥 enroll → 拒绝,PASS,—,本轮未跑（不涉及）；实测 400 BAD_REQUEST，见 round-1.md §9 未收敛-1
C08,负例,带错注册密钥 enroll → 401,PASS,—,本轮未跑（不涉及）
C09,负例,带已撤销注册密钥 enroll → 401,PASS,—,本轮未跑（不涉及）
C10,负例,rk 对但配对码错 → 401 且与「rk 错」响应逐字节相同,PASS,—,本轮未跑（不涉及）
C11,负例,撤销 rk 后：新机器 401 进不来 / 已在线机器不受影响仍心跳,PASS,—,本轮未跑；UI 撤销文案已把该语义写进 modal
C12,本地,沙箱看板起 + 5 个 state 任务包,PASS,—,round-2 只起看板（8797 / .sandbox/p1-ui）不造任务包
C13,本地,POST /api/cloud/enroll → 机器令牌 + identity.json 落盘,PASS,PASS,round-2 由桌面端设置页 UI 贴 join token 触发 machineId=e458f445…
C14,本地·红线,注册密钥不落盘 / 不进日志 / 不进 /api/cloud/status,PASS,PASS,round-2 复核 /api/cloud/status 全文搜 rk 明文零命中
C15,云端,心跳 → GET /api/machines 看到 online + hostname + claude 版本 + 负载,PASS,PASS,claude=2.1.211 load=0/5
C16,对账,GET /api/tasks 看到 5 个任务且 state 与本地逐张一致,PASS,—,本轮未跑（不涉及）
