case,description,round-1,round-2,round-3
REG-1,registry 是 provider/model/effort/capability 唯一事实源,PASS,,
REG-2,非法跨 provider model/effort 组合被拒,PASS,,
DATA-1,旧 task/config/key 缺 provider 时解释为 claude 且新写显式 provider,PASS,,
DATA-2,有 sessionId 后 provider 不可切换,PASS,,
DATA-3,sessionHistory 项带 provider 且 resume 由 task.provider 路由,PASS,,
CLAUDE-1,真 Claude 新会话+流式文本+工具+结果无回归,FAIL,,
CLAUDE-2,真 Claude resume+回复+interrupt+approval 无回归,FAIL,,
CODEX-1,真 Codex initialize+thread/start+turn/start+逐字文本,PASS,,
CODEX-2,真 Codex reasoning+command/file/MCP tool 映射,FAIL,,
CODEX-3,真 Codex 多轮复用+thread/resume,PASS,,
CODEX-4,真 Codex approval allow/deny + turn/interrupt,FAIL,,
CODEX-5,Codex usage/context window 映射正确,PASS,,
LOG-1,Codex settled journal 在进程结束/重启后可读,PASS,,
API-1,task create/detail/edit/state/reply provider 全链路一致,PASS,,
API-2,session info/SSE 使用统一 provider/sessionId/event 契约,PASS,,
API-3,本地 API key 绑定 provider 且 whoami/create 不可跨 provider,PASS,,
UI-1,新建编辑 Provider→Model→Effort 级联且回填正确,PASS,,
UI-2,详情与回复展示正确 provider 且不能跨 provider,PASS,,
UI-3,Codex 隐藏 Claude-only usage/workflows/observe capability,PASS,,
RUNTIME-1,Claude/Codex 可用性独立探测与显示,PASS,,
WIN-1,Windows npm .cmd 可启动且 close 无遗留 app-server 子进程,PASS,,
REGRESS-1,既有 external/replan/resume/detail/runtime 验收更新后通过,FAIL,,
