case,round-1,round-2,note
S1/S2 create(queued) auto→processing,PASS,,"createTask 返回 state=processing spawned=true sessionUiId；盘上 lease+state+task"
state machine queued→processing→awaiting-human,PASS,,"history: queued(create:manual)→processing(session)→awaiting-human(session)"
meta 持久化(sessionId/rounds/usage),PASS,,"meta.sessionId rounds/numTurns/usage/totalCostUsd 落盘"
lease 在 awaiting-human 移除,PASS,,"result 后 lease.json 删除；桶由 state.json.state 决定"
reply 复用 live 会话(多轮),PASS,,"reply→reused:true 同 session→processing→awaiting-human rounds=2"
plan gate 不自动跑,PASS,,"plan:true→state=plan spawned=false，无 claude spawn"
approve(plan→processing),PASS,,"approve→spawned=true sessionUiId"
cancel(→awaiting-human/cancelled+关会话),PASS,,"cancel→killedPid=session id，outcome=cancelled mbSessionId=null"
reply --resume fallback(会话死后),PASS,,"close 会话→mbSessionId=null→reply resumed:<sid> 新 session 续到 rounds=3"
S3 server boot 无 authBlock/dws,PASS,,"/api/state keys 无 authBlock；scheduler jobs=runner-checker；node --check 8/8"
session 绑定 taskKey(info 暴露),PASS,PASS,"/api/session/list session.taskKey=任务key"
card 暴露 mbSessionId,PASS,PASS,"/api/state card.mbSessionId=sessionUiId（供路由）"
worker-log 全局定位 jsonl(自定义 cwd),PASS,,"readWorkerLog 全局 locate 命中→rounds 有 assistant text"
S5 单入口(无交互会话按钮),,PASS,"newSessionBtn 已删；newTaskBtn 在"
S5 新建任务→自动起会话→路由 #/session,,PASS,"提交后 location.hash=#/session/<id>，view-session 可见"
S5 逐字流式 + assistant 文本,,PASS,"#mbLive 长度序列 [30,56]；assistant text mango 已渲染"
S5 会话头 任务面包屑 + 返回看板,,PASS,"sessionHead 含 任务manual:… + ← 看板"
S5 composer 续轮(走 /api/task/reply),,PASS,"发 mango2 → 第二轮 assistant 渲染"
S5 返回看板见任务卡,,PASS,".taskcard[data-taskkey^=manual:] 存在"
